ct0=BDMAP_00059234 / ct1=BDMAP_00042737
ct0=BDMAP_00063022 / ct1=BDMAP_00062306
ct0=BDMAP_00069392 / ct1=BDMAP_00068864
ct0=BDMAP_00178403 / ct1=BDMAP_00175436
ct0=BDMAP_00062027 / ct1=BDMAP_00062922
ct0=BDMAP_00039217 / ct1=BDMAP_00059593
ct0=BDMAP_00062306 / ct1=BDMAP_00063022
ct0=BDMAP_00042099 / ct1=BDMAP_00069528
ct0=BDMAP_00052324 / ct1=BDMAP_00051675
ct0=BDMAP_00176071 / ct1=BDMAP_00175904
ct0=BDMAP_00062404 / ct1=BDMAP_00062056
ct0=BDMAP_00061678 / ct1=BDMAP_00037994
ct0=BDMAP_00184971 / ct1=BDMAP_00180468
ct0=BDMAP_00135837 / ct1=BDMAP_00131080
ct0=BDMAP_00127721 / ct1=BDMAP_00128866
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00040631 / ct1=BDMAP_00052624
ct0=BDMAP_00063022 / ct1=BDMAP_00062306
ct0=BDMAP_00063022 / ct1=BDMAP_00062306
ct0=BDMAP_00062056 / ct1=BDMAP_00062404
ct0=BDMAP_00062056 / ct1=BDMAP_00062404
ct0=BDMAP_00056305 / ct1=BDMAP_00069231
ct0=BDMAP_00175904 / ct1=BDMAP_00176071
ct0=BDMAP_00061843 / ct1=BDMAP_00045474
ct0=BDMAP_00074897 / ct1=BDMAP_00128866
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00062017 / ct1=BDMAP_00061219
ct0=BDMAP_00061864 / ct1=BDMAP_00037994
ct0=BDMAP_00062027 / ct1=BDMAP_00062922
ct0=BDMAP_00072472 / ct1=BDMAP_00067770
ct0=BDMAP_00061885 / ct1=BDMAP_00061856
ct0=BDMAP_00058988 / ct1=BDMAP_00059154
ct0=BDMAP_00061429 / ct1=BDMAP_00062400
ct0=BDMAP_00167723 / ct1=BDMAP_00165898
ct0=BDMAP_00179328 / ct1=BDMAP_00184636
ct0=BDMAP_00180468 / ct1=BDMAP_00178337
ct0=BDMAP_00062404 / ct1=BDMAP_00062966
ct0=BDMAP_00040739 / ct1=BDMAP_00069528
ct0=BDMAP_00045420 / ct1=BDMAP_00052482
ct0=BDMAP_00170231 / ct1=BDMAP_00172832
ct0=BDMAP_00039963 / ct1=BDMAP_00039437
ct0=BDMAP_00069231 / ct1=BDMAP_00056305
ct0=BDMAP_00061916 / ct1=BDMAP_00060992
ct0=BDMAP_00044126 / ct1=BDMAP_00063184
ct0=BDMAP_00185404 / ct1=BDMAP_00184971
ct0=BDMAP_00058988 / ct1=BDMAP_00059154
ct0=BDMAP_00058988 / ct1=BDMAP_00059154
ct0=BDMAP_00069231 / ct1=BDMAP_00069443
ct0=BDMAP_00179227 / ct1=BDMAP_00177276
ct0=BDMAP_00044895 / ct1=BDMAP_00040565
ct0=BDMAP_00042309 / ct1=BDMAP_00039963
ct0=BDMAP_00039588 / ct1=BDMAP_00061856
ct0=BDMAP_00039437 / ct1=BDMAP_00042309
ct0=BDMAP_00185404 / ct1=BDMAP_00178337
ct0=BDMAP_00062922 / ct1=BDMAP_00037061
ct0=BDMAP_00058988 / ct1=BDMAP_00059154
ct0=BDMAP_00061678 / ct1=BDMAP_00037994
ct0=BDMAP_00056483 / ct1=BDMAP_00056305
ct0=BDMAP_00167723 / ct1=BDMAP_00165898
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00044895 / ct1=BDMAP_00040565
ct0=BDMAP_00040565 / ct1=BDMAP_00044895
ct0=BDMAP_00040598 / ct1=BDMAP_00044109
ct0=BDMAP_00069426 / ct1=BDMAP_00042099
ct0=BDMAP_00168477 / ct1=BDMAP_00179227
ct0=BDMAP_00183311 / ct1=BDMAP_00178643
ct0=BDMAP_00040565 / ct1=BDMAP_00044895
ct0=BDMAP_00039963 / ct1=BDMAP_00039437
ct0=BDMAP_00179227 / ct1=BDMAP_00177276
ct0=BDMAP_00061678 / ct1=BDMAP_00037994
ct0=BDMAP_00175436 / ct1=BDMAP_00178403
ct0=BDMAP_00058988 / ct1=BDMAP_00059154
ct0=BDMAP_00058988 / ct1=BDMAP_00059154
ct0=BDMAP_00167629 / ct1=BDMAP_00172925
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00062404 / ct1=BDMAP_00062056
ct0=BDMAP_00061864 / ct1=BDMAP_00037994
ct0=BDMAP_00062404 / ct1=BDMAP_00062056
ct0=BDMAP_00074897 / ct1=BDMAP_00128866
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00061864 / ct1=BDMAP_00037994
ct0=BDMAP_00039437 / ct1=BDMAP_00042309
ct0=BDMAP_00173865 / ct1=BDMAP_00179328
ct0=BDMAP_00042099 / ct1=BDMAP_00069528
ct0=BDMAP_00061678 / ct1=BDMAP_00037994
ct0=BDMAP_00135837 / ct1=BDMAP_00036233
ct0=BDMAP_00177276 / ct1=BDMAP_00179227
ct0=BDMAP_00059154 / ct1=BDMAP_00058988
ct0=BDMAP_00169818 / ct1=BDMAP_00167614
ct0=BDMAP_00062404 / ct1=BDMAP_00062966
ct0=BDMAP_00044895 / ct1=BDMAP_00040565
ct0=BDMAP_00040565 / ct1=BDMAP_00044895
ct0=BDMAP_00069528 / ct1=BDMAP_00069443
ct0=BDMAP_00181437 / ct1=BDMAP_00179822
ct0=BDMAP_00061864 / ct1=BDMAP_00037994
ct0=BDMAP_00184971 / ct1=BDMAP_00180468
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00135837 / ct1=BDMAP_00036233
ct0=BDMAP_00181437 / ct1=BDMAP_00179822
ct0=BDMAP_00151849 / ct1=BDMAP_00039437
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00059154 / ct1=BDMAP_00058988
ct0=BDMAP_00062056 / ct1=BDMAP_00062404
ct0=BDMAP_00179328 / ct1=BDMAP_00183688
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00178337 / ct1=BDMAP_00185404
ct0=BDMAP_00061678 / ct1=BDMAP_00061864
ct0=BDMAP_00061429 / ct1=BDMAP_00062400
ct0=BDMAP_00061856 / ct1=BDMAP_00061885
ct0=BDMAP_00061856 / ct1=BDMAP_00039588
ct0=BDMAP_00176071 / ct1=BDMAP_00175904
ct0=BDMAP_00040739 / ct1=BDMAP_00069426
ct0=BDMAP_00061678 / ct1=BDMAP_00037994
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00039963 / ct1=BDMAP_00039437
ct0=BDMAP_00061864 / ct1=BDMAP_00037994
ct0=BDMAP_00061429 / ct1=BDMAP_00062400
ct0=BDMAP_00184636 / ct1=BDMAP_00179328
ct0=BDMAP_00182742 / ct1=BDMAP_00185116
ct0=BDMAP_00069528 / ct1=BDMAP_00042099
ct0=BDMAP_00062166 / ct1=BDMAP_00061856
ct0=BDMAP_00062404 / ct1=BDMAP_00062056
ct0=BDMAP_00061678 / ct1=BDMAP_00037994
ct0=BDMAP_00185184 / ct1=BDMAP_00179735
ct0=BDMAP_00135837 / ct1=BDMAP_00131080
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00062907 / ct1=BDMAP_00059154
ct0=BDMAP_00069528 / ct1=BDMAP_00069443
ct0=BDMAP_00042309 / ct1=BDMAP_00151849
ct0=BDMAP_00042099 / ct1=BDMAP_00056483
ct0=BDMAP_00167723 / ct1=BDMAP_00165898
ct0=BDMAP_00170231 / ct1=BDMAP_00183713
ct0=BDMAP_00040739 / ct1=BDMAP_00069231
ct0=BDMAP_00168781 / ct1=BDMAP_00178697
ct0=BDMAP_00051675 / ct1=BDMAP_00052324
ct0=BDMAP_00178329 / ct1=BDMAP_00182444
ct0=BDMAP_00179106 / ct1=BDMAP_00167966
ct0=BDMAP_00184807 / ct1=BDMAP_00182541
ct0=BDMAP_00062404 / ct1=BDMAP_00062056
ct0=BDMAP_00039437 / ct1=BDMAP_00151849
ct0=BDMAP_00061678 / ct1=BDMAP_00037994
ct0=BDMAP_00178329 / ct1=BDMAP_00182444
ct0=BDMAP_00184572 / ct1=BDMAP_00176361
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00182444 / ct1=BDMAP_00178329
ct0=BDMAP_00062056 / ct1=BDMAP_00062404
ct0=BDMAP_00062922 / ct1=BDMAP_00062027
ct0=BDMAP_00062404 / ct1=BDMAP_00062966
